,invoice_id,branch,city,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,revenue,net_profit,region
1367,1368,WALM073,Seguin,Fashion accessories,43.0,1.0,2021-04-22,1900-01-01 18:15:00,Ewallet,8.0,0.33,43.0,14.19,Central Texas
1368,1369,WALM047,Flower Mound,Home and lifestyle,71.0,3.0,2022-11-11,1900-01-01 07:50:00,Ewallet,5.0,0.48,213.0,102.24,DFW Metroplex
1369,1370,WALM089,Southlake,Fashion accessories,26.0,1.0,2023-04-18,1900-01-01 11:56:00,Ewallet,9.0,0.33,26.0,8.58,DFW Metroplex
1370,1371,WALM078,Del Rio,Home and lifestyle,37.0,2.0,2022-10-26,1900-01-01 08:10:00,Ewallet,5.0,0.33,74.0,24.42,South Texas
1371,1372,WALM043,Baytown,Fashion accessories,54.0,3.0,2023-04-21,1900-01-01 22:00:00,Ewallet,5.0,0.48,162.0,77.76,Greater Houston
1372,1373,WALM056,Rowlett,Home and lifestyle,85.0,1.0,2022-02-02,1900-01-01 16:56:00,Ewallet,4.0,0.33,85.0,28.05,DFW Metroplex
1373,1374,WALM030,Richardson,Fashion accessories,83.0,1.0,2022-09-05,1900-01-01 06:02:00,Ewallet,7.0,0.48,83.0,39.84,DFW Metroplex
1374,1375,WALM090,Brownwood,Home and lifestyle,23.0,1.0,2020-07-22,1900-01-01 13:05:00,Ewallet,6.0,0.33,23.0,7.59,
1375,1376,WALM058,Port Arthur,Fashion accessories,27.0,3.0,2020-11-02,1900-01-01 06:31:00,Ewallet,8.0,0.33,81.0,26.73,Greater Houston
1376,1377,WALM059,Pflugerville,Home and lifestyle,32.0,1.0,2020-10-05,1900-01-01 07:02:00,Ewallet,6.0,0.33,32.0,10.56,Central Texas
1377,1378,WALM010,Laredo,Fashion accessories,19.0,2.0,2021-08-14,1900-01-01 11:21:00,Ewallet,8.0,0.48,38.0,18.24,South Texas
1378,1379,WALM079,La Porte,Home and lifestyle,22.0,2.0,2023-01-31,1900-01-01 19:32:00,Ewallet,4.0,0.33,44.0,14.52,Greater Houston
1379,1380,WALM016,Brownsville,Fashion accessories,56.0,1.0,2023-03-27,1900-01-01 16:51:00,Ewallet,5.0,0.48,56.0,26.88,South Texas
1380,1381,WALM081,Friendswood,Home and lifestyle,26.0,3.0,2020-05-07,1900-01-01 09:54:00,Ewallet,5.0,0.33,78.0,25.74,Greater Houston
1381,1382,WALM006,El Paso,Fashion accessories,23.0,1.0,2020-10-02,1900-01-01 12:38:00,Ewallet,6.0,0.48,23.0,11.04,Far West Texas
1382,1383,WALM012,Garland,Home and lifestyle,85.0,3.0,2023-04-02,1900-01-01 14:11:00,Ewallet,6.0,0.48,255.0,122.4,DFW Metroplex
1383,1384,WALM009,Plano,Fashion accessories,52.0,3.0,2023-05-23,1900-01-01 17:55:00,Ewallet,9.0,0.48,156.0,74.88,DFW Metroplex
1384,1385,WALM085,Kerrville,Home and lifestyle,55.0,3.0,2021-04-10,1900-01-01 11:51:00,Ewallet,7.0,0.33,165.0,54.45,Central Texas
1385,1386,WALM047,Flower Mound,Fashion accessories,29.0,1.0,2022-03-05,1900-01-01 22:41:00,Ewallet,9.0,0.48,29.0,13.92,DFW Metroplex
1386,1387,WALM095,Big Spring,Home and lifestyle,26.0,3.0,2021-10-06,1900-01-01 11:10:00,Ewallet,7.0,0.33,78.0,25.74,West Texas
1387,1388,WALM084,Schertz,Fashion accessories,44.0,1.0,2021-01-22,1900-01-01 13:28:00,Ewallet,6.0,0.33,44.0,14.52,Central Texas
1388,1389,WALM083,Farmers Branch,Home and lifestyle,25.0,3.0,2022-03-06,1900-01-01 12:24:00,Ewallet,4.0,0.33,75.0,24.75,DFW Metroplex
1389,1390,WALM007,Arlington,Fashion accessories,76.0,2.0,2022-11-02,1900-01-01 15:43:00,Ewallet,8.0,0.48,152.0,72.96,DFW Metroplex
1390,1391,WALM034,College Station,Home and lifestyle,35.0,3.0,2022-02-14,1900-01-01 07:07:00,Ewallet,6.0,0.48,105.0,50.4,Central Texas
1391,1392,WALM023,Midland,Fashion accessories,16.0,3.0,2020-06-05,1900-01-01 16:05:00,Ewallet,8.0,0.48,48.0,23.04,West Texas
1392,1393,WALM008,Corpus Christi,Home and lifestyle,71.0,1.0,2022-12-02,1900-01-01 06:19:00,Ewallet,6.0,0.48,71.0,34.08,
1393,1394,WALM098,Mineral Wells,Fashion accessories,80.0,3.0,2023-04-11,1900-01-01 17:34:00,Ewallet,6.0,0.18,240.0,43.2,Central Texas
1394,1395,WALM009,Plano,Home and lifestyle,71.0,3.0,2020-01-08,1900-01-01 14:54:00,Ewallet,9.0,0.48,213.0,102.24,DFW Metroplex
1395,1396,WALM072,Lancaster,Fashion accessories,50.0,3.0,2020-11-15,1900-01-01 14:47:00,Ewallet,4.0,0.33,150.0,49.5,DFW Metroplex
1396,1397,WALM059,Pflugerville,Home and lifestyle,40.0,3.0,2022-05-18,1900-01-01 14:41:00,Ewallet,7.0,0.33,120.0,39.6,Central Texas
1397,1398,WALM073,Seguin,Fashion accessories,36.0,3.0,2023-03-30,1900-01-01 18:10:00,Ewallet,6.0,0.33,108.0,35.64,Central Texas
1398,1399,WALM043,Baytown,Home and lifestyle,23.0,1.0,2023-10-01,1900-01-01 08:37:00,Ewallet,7.0,0.48,23.0,11.04,Greater Houston
1399,1400,WALM092,Lake Jackson,Fashion accessories,30.0,2.0,2022-08-03,1900-01-01 10:10:00,Ewallet,9.0,0.33,60.0,19.8,Greater Houston
1400,1401,WALM026,Denton,Home and lifestyle,39.0,1.0,2022-04-04,1900-01-01 19:27:00,Ewallet,8.0,0.48,39.0,18.72,DFW Metroplex
1401,1402,WALM079,La Porte,Fashion accessories,39.0,3.0,2020-07-22,1900-01-01 06:16:00,Ewallet,8.0,0.33,117.0,38.61,Greater Houston
1402,1403,WALM100,Canyon,Home and lifestyle,66.0,3.0,2023-06-14,1900-01-01 09:02:00,Ewallet,5.0,0.18,198.0,35.64,West Texas
1403,1404,WALM096,Eagle Pass,Fashion accessories,43.0,2.0,2023-02-28,1900-01-01 20:27:00,Ewallet,4.0,0.18,86.0,15.48,South Texas
1404,1405,WALM053,Conroe,Home and lifestyle,31.0,2.0,2022-12-20,1900-01-01 22:59:00,Ewallet,6.0,0.57,62.0,35.34,Greater Houston
1405,1406,WALM054,Sherman,Fashion accessories,32.0,1.0,2023-10-13,1900-01-01 11:03:00,Ewallet,5.0,0.21,32.0,6.72,DFW Metroplex
1406,1407,WALM070,Hurst,Home and lifestyle,37.0,1.0,2023-04-30,1900-01-01 16:45:00,Ewallet,9.0,0.33,37.0,12.21,DFW Metroplex
1407,1408,WALM004,Austin,Fashion accessories,63.0,2.0,2022-02-20,1900-01-01 12:42:00,Ewallet,7.0,0.48,126.0,60.48,Central Texas
1408,1409,WALM071,Lufkin,Home and lifestyle,49.0,1.0,2020-09-04,1900-01-01 21:11:00,Ewallet,6.0,0.33,49.0,16.17,East Texas
1409,1410,WALM081,Friendswood,Fashion accessories,71.0,2.0,2020-07-04,1900-01-01 16:09:00,Ewallet,9.0,0.33,142.0,46.86,Greater Houston
1410,1411,WALM028,Odessa,Home and lifestyle,49.0,3.0,2023-12-08,1900-01-01 21:48:00,Ewallet,6.0,0.48,147.0,70.56,West Texas
1411,1412,WALM031,Lewisville,Fashion accessories,15.0,3.0,2021-03-02,1900-01-01 18:41:00,Ewallet,6.0,0.48,45.0,21.6,DFW Metroplex
1412,1413,WALM063,Georgetown,Home and lifestyle,74.0,1.0,2021-01-27,1900-01-01 09:47:00,Ewallet,4.0,0.33,74.0,24.42,Central Texas
1413,1414,WALM022,Mesquite,Fashion accessories,69.0,3.0,2022-08-02,1900-01-01 15:20:00,Ewallet,5.0,0.48,207.0,99.36,DFW Metroplex
1414,1415,WALM084,Schertz,Home and lifestyle,77.0,1.0,2020-06-17,1900-01-01 15:25:00,Ewallet,5.0,0.33,77.0,25.41,Central Texas
1415,1416,WALM100,Canyon,Fashion accessories,41.0,3.0,2020-12-15,1900-01-01 15:21:00,Ewallet,7.0,0.18,123.0,22.14,West Texas
1416,1417,WALM068,Burleson,Home and lifestyle,77.0,3.0,2021-10-06,1900-01-01 13:13:00,Ewallet,4.0,0.33,231.0,76.23,DFW Metroplex
1417,1418,WALM043,Baytown,Fashion accessories,56.0,2.0,2023-11-30,1900-01-01 12:47:00,Ewallet,8.0,0.48,112.0,53.76,Greater Houston
1418,1419,WALM019,Pasadena,Home and lifestyle,80.0,2.0,2020-12-21,1900-01-01 16:17:00,Ewallet,9.0,0.48,160.0,76.8,Greater Houston
1419,1420,WALM024,Carrollton,Fashion accessories,51.0,3.0,2021-11-14,1900-01-01 06:55:00,Ewallet,5.0,0.48,153.0,73.44,DFW Metroplex
1420,1421,WALM045,Missouri City,Home and lifestyle,85.0,2.0,2021-03-04,1900-01-01 13:49:00,Credit card,4.0,0.48,170.0,81.6,Greater Houston
1421,1422,WALM056,Rowlett,Fashion accessories,50.0,3.0,2022-04-02,1900-01-01 19:08:00,Ewallet,6.0,0.33,150.0,49.5,DFW Metroplex
1422,1423,WALM045,Missouri City,Home and lifestyle,17.0,1.0,2021-09-30,1900-01-01 20:36:00,Credit card,5.0,0.48,17.0,8.16,Greater Houston
1423,1424,WALM040,Edinburg,Fashion accessories,49.0,1.0,2022-10-22,1900-01-01 16:16:00,Ewallet,6.0,0.48,49.0,23.52,
1424,1425,WALM060,DeSoto,Home and lifestyle,28.0,3.0,2021-01-04,1900-01-01 22:35:00,Ewallet,4.0,0.33,84.0,27.72,DFW Metroplex
1425,1426,WALM069,Rockwall,Fashion accessories,52.0,1.0,2021-05-21,1900-01-01 18:05:00,Ewallet,7.0,0.33,52.0,17.16,DFW Metroplex
1426,1427,WALM081,Friendswood,Home and lifestyle,27.0,3.0,2022-12-19,1900-01-01 11:14:00,Ewallet,9.0,0.33,81.0,26.73,Greater Houston
1427,1428,WALM020,Killeen,Fashion accessories,34.0,3.0,2022-01-15,1900-01-01 09:08:00,Ewallet,7.0,0.48,102.0,48.96,Central Texas
1428,1429,WALM002,Dallas,Home and lifestyle,65.0,3.0,2021-01-05,1900-01-01 13:32:00,Ewallet,6.0,0.36,195.0,70.2,DFW Metroplex
1429,1430,WALM014,Amarillo,Fashion accessories,62.0,3.0,2020-10-19,1900-01-01 11:56:00,Ewallet,8.0,0.48,186.0,89.28,West Texas
1430,1431,WALM058,Port Arthur,Home and lifestyle,74.0,2.0,2023-06-24,1900-01-01 20:05:00,Ewallet,7.0,0.33,148.0,48.84,Greater Houston
1431,1432,WALM022,Mesquite,Fashion accessories,16.0,1.0,2020-08-28,1900-01-01 14:41:00,Ewallet,5.0,0.48,16.0,7.68,DFW Metroplex
1432,1433,WALM015,Grand Prairie,Home and lifestyle,38.0,3.0,2022-05-21,1900-01-01 12:12:00,Ewallet,5.0,0.48,114.0,54.72,DFW Metroplex
1433,1434,WALM056,Rowlett,Fashion accessories,62.0,2.0,2020-02-24,1900-01-01 07:25:00,Ewallet,8.0,0.33,124.0,40.92,DFW Metroplex
1434,1435,WALM092,Lake Jackson,Home and lifestyle,77.0,1.0,2023-11-13,1900-01-01 14:21:00,Ewallet,6.0,0.33,77.0,25.41,Greater Houston
1435,1436,WALM074,Weslaco,Fashion accessories,81.0,1.0,2021-07-22,1900-01-01 19:46:00,Cash,8.0,0.33,81.0,26.73,South Texas
1436,1437,WALM007,Arlington,Home and lifestyle,25.0,1.0,2022-12-25,1900-01-01 20:41:00,Ewallet,7.0,0.48,25.0,12.0,DFW Metroplex
1437,1438,WALM080,Nacogdoches,Fashion accessories,28.0,3.0,2021-09-17,1900-01-01 06:36:00,Ewallet,4.0,0.33,84.0,27.72,East Texas
1438,1439,WALM021,McAllen,Home and lifestyle,77.0,3.0,2022-06-03,1900-01-01 09:31:00,Ewallet,9.0,0.48,231.0,110.88,South Texas
1439,1440,WALM077,Coppell,Fashion accessories,79.0,1.0,2022-10-10,1900-01-01 17:07:00,Ewallet,8.0,0.33,79.0,26.07,DFW Metroplex
1440,1441,WALM045,Missouri City,Home and lifestyle,21.0,2.0,2023-02-07,1900-01-01 14:12:00,Credit card,6.0,0.48,42.0,20.16,Greater Houston
1441,1442,WALM099,Weatherford,Fashion accessories,17.0,1.0,2020-03-12,1900-01-01 12:33:00,Ewallet,6.0,0.18,17.0,3.06,DFW Metroplex
1442,1443,WALM012,Garland,Home and lifestyle,76.0,3.0,2022-05-15,1900-01-01 13:57:00,Ewallet,9.0,0.48,228.0,109.44,DFW Metroplex
1443,1444,WALM035,San Angelo,Fashion accessories,33.0,3.0,2022-11-27,1900-01-01 10:55:00,Ewallet,6.0,0.48,99.0,47.52,West Texas
1444,1445,WALM003,San Antonio,Home and lifestyle,38.0,1.0,2020-04-23,1900-01-01 10:44:00,Ewallet,4.0,0.36,38.0,13.68,Central Texas
1445,1446,WALM069,Rockwall,Fashion accessories,29.0,2.0,2023-09-26,1900-01-01 09:01:00,Ewallet,8.0,0.33,58.0,19.14,DFW Metroplex
1446,1447,WALM053,Conroe,Home and lifestyle,85.0,1.0,2022-06-29,1900-01-01 17:03:00,Ewallet,8.0,0.57,85.0,48.45,Greater Houston
1447,1448,WALM081,Friendswood,Fashion accessories,31.0,1.0,2023-04-26,1900-01-01 16:47:00,Ewallet,8.0,0.33,31.0,10.23,Greater Houston
1448,1449,WALM092,Lake Jackson,Home and lifestyle,67.0,3.0,2022-09-30,1900-01-01 16:51:00,Ewallet,4.0,0.33,201.0,66.33,Greater Houston
1449,1450,WALM063,Georgetown,Fashion accessories,72.0,1.0,2021-09-04,1900-01-01 07:14:00,Ewallet,7.0,0.33,72.0,23.76,Central Texas
1450,1451,WALM079,La Porte,Home and lifestyle,41.0,3.0,2022-06-07,1900-01-01 10:31:00,Ewallet,7.0,0.33,123.0,40.59,Greater Houston
1451,1452,WALM065,Texas City,Fashion accessories,67.0,1.0,2021-05-07,1900-01-01 18:06:00,Ewallet,5.0,0.33,67.0,22.11,Greater Houston
1452,1453,WALM071,Lufkin,Home and lifestyle,32.0,2.0,2022-11-28,1900-01-01 15:04:00,Ewallet,5.0,0.33,64.0,21.12,East Texas
1453,1454,WALM090,Brownwood,Fashion accessories,67.0,2.0,2022-12-12,1900-01-01 06:06:00,Ewallet,7.0,0.33,134.0,44.22,
1454,1455,WALM016,Brownsville,Home and lifestyle,36.0,3.0,2020-04-07,1900-01-01 19:21:00,Ewallet,8.0,0.48,108.0,51.84,South Texas
1455,1456,WALM020,Killeen,Fashion accessories,69.0,2.0,2023-03-02,1900-01-01 10:46:00,Ewallet,8.0,0.48,138.0,66.24,Central Texas
1456,1457,WALM062,Galveston,Home and lifestyle,40.0,1.0,2023-11-07,1900-01-01 19:42:00,Ewallet,4.0,0.33,40.0,13.2,Greater Houston
1457,1458,WALM038,Sugar Land,Fashion accessories,33.0,3.0,2022-06-10,1900-01-01 08:51:00,Ewallet,7.0,0.48,99.0,47.52,Central Texas
1458,1459,WALM042,Bryan,Home and lifestyle,46.0,2.0,2021-11-27,1900-01-01 19:29:00,Ewallet,8.0,0.48,92.0,44.16,Central Texas
1459,1460,WALM017,McKinney,Fashion accessories,76.0,1.0,2020-12-01,1900-01-01 09:32:00,Ewallet,8.0,0.48,76.0,36.48,DFW Metroplex
1460,1461,WALM043,Baytown,Home and lifestyle,19.0,1.0,2022-04-20,1900-01-01 09:13:00,Ewallet,7.0,0.48,19.0,9.12,Greater Houston
1461,1462,WALM029,Round Rock,Fashion accessories,62.0,3.0,2021-05-06,1900-01-01 20:22:00,Ewallet,5.0,0.48,186.0,89.28,Central Texas
1462,1463,WALM045,Missouri City,Home and lifestyle,53.0,2.0,2021-12-05,1900-01-01 20:26:00,Credit card,5.0,0.48,106.0,50.88,Greater Houston
1463,1464,WALM071,Lufkin,Fashion accessories,55.0,2.0,2023-09-16,1900-01-01 19:53:00,Ewallet,7.0,0.33,110.0,36.3,East Texas
1464,1465,WALM089,Southlake,Home and lifestyle,47.0,2.0,2023-01-04,1900-01-01 10:06:00,Ewallet,4.0,0.33,94.0,31.02,DFW Metroplex
1465,1466,WALM088,Cleburne,Fashion accessories,63.0,2.0,2020-07-11,1900-01-01 18:43:00,Ewallet,5.0,0.33,126.0,41.58,DFW Metroplex
1466,1467,WALM042,Bryan,Home and lifestyle,59.0,3.0,2020-06-22,1900-01-01 09:33:00,Ewallet,9.0,0.48,177.0,84.96,Central Texas
1467,1468,WALM088,Cleburne,Fashion accessories,49.0,1.0,2022-12-22,1900-01-01 17:34:00,Ewallet,5.0,0.33,49.0,16.17,DFW Metroplex
1468,1469,WALM020,Killeen,Home and lifestyle,68.0,2.0,2020-12-04,1900-01-01 09:58:00,Ewallet,9.0,0.48,136.0,65.28,Central Texas
1469,1470,WALM023,Midland,Fashion accessories,73.0,1.0,2021-05-18,1900-01-01 17:51:00,Ewallet,7.0,0.48,73.0,35.04,West Texas
1470,1471,WALM079,La Porte,Home and lifestyle,82.0,1.0,2020-11-29,1900-01-01 14:59:00,Ewallet,5.0,0.33,82.0,27.06,Greater Houston
1471,1472,WALM095,Big Spring,Fashion accessories,68.0,2.0,2023-09-03,1900-01-01 20:49:00,Ewallet,4.0,0.33,136.0,44.88,West Texas
1472,1473,WALM001,Houston,Home and lifestyle,58.0,2.0,2023-05-03,1900-01-01 11:06:00,Ewallet,4.0,0.36,116.0,41.76,Greater Houston
1473,1474,WALM065,Texas City,Fashion accessories,44.0,1.0,2020-05-26,1900-01-01 19:41:00,Ewallet,7.0,0.33,44.0,14.52,Greater Houston
1474,1475,WALM076,Huntsville,Home and lifestyle,40.0,3.0,2021-12-14,1900-01-01 17:23:00,Ewallet,7.0,0.33,120.0,39.6,Central Texas
1475,1476,WALM089,Southlake,Fashion accessories,18.0,3.0,2022-07-27,1900-01-01 18:04:00,Ewallet,6.0,0.33,54.0,17.82,DFW Metroplex
1476,1477,WALM094,Alamo,Home and lifestyle,56.0,3.0,2022-11-23,1900-01-01 20:44:00,Ewallet,8.0,0.33,168.0,55.44,South Texas
1477,1478,WALM009,Plano,Fashion accessories,45.0,1.0,2022-02-21,1900-01-01 08:50:00,Ewallet,5.0,0.48,45.0,21.6,DFW Metroplex
1478,1479,WALM069,Rockwall,Home and lifestyle,28.0,1.0,2020-12-07,1900-01-01 16:32:00,Ewallet,4.0,0.33,28.0,9.24,DFW Metroplex
1479,1480,WALM069,Rockwall,Fashion accessories,72.0,2.0,2020-04-12,1900-01-01 07:23:00,Ewallet,9.0,0.33,144.0,47.52,DFW Metroplex
1480,1481,WALM032,Tyler,Home and lifestyle,33.0,2.0,2021-06-01,1900-01-01 10:35:00,Ewallet,4.0,0.48,66.0,31.68,East Texas
1481,1482,WALM017,McKinney,Fashion accessories,69.0,1.0,2020-05-28,1900-01-01 13:36:00,Ewallet,9.0,0.48,69.0,33.12,DFW Metroplex
1482,1483,WALM021,McAllen,Home and lifestyle,51.0,1.0,2022-06-16,1900-01-01 12:40:00,Ewallet,8.0,0.48,51.0,24.48,South Texas
1483,1484,WALM030,Richardson,Fashion accessories,22.0,1.0,2020-01-21,1900-01-01 19:46:00,Ewallet,8.0,0.48,22.0,10.56,DFW Metroplex
1484,1485,WALM006,El Paso,Home and lifestyle,17.0,2.0,2021-03-28,1900-01-01 18:45:00,Ewallet,6.0,0.48,34.0,16.32,Far West Texas
1485,1486,WALM047,Flower Mound,Fashion accessories,37.0,1.0,2021-11-24,1900-01-01 21:37:00,Ewallet,5.0,0.48,37.0,17.76,DFW Metroplex
1486,1487,WALM015,Grand Prairie,Home and lifestyle,63.0,2.0,2021-06-18,1900-01-01 13:42:00,Ewallet,6.0,0.48,126.0,60.48,DFW Metroplex
1487,1488,WALM068,Burleson,Fashion accessories,22.0,1.0,2023-07-20,1900-01-01 15:37:00,Ewallet,6.0,0.33,22.0,7.26,DFW Metroplex
1488,1489,WALM065,Texas City,Home and lifestyle,24.0,3.0,2020-01-25,1900-01-01 08:01:00,Ewallet,5.0,0.33,72.0,23.76,Greater Houston
1489,1490,WALM094,Alamo,Fashion accessories,77.0,2.0,2022-01-13,1900-01-01 12:25:00,Ewallet,5.0,0.33,154.0,50.82,South Texas
1490,1491,WALM048,Harlingen,Home and lifestyle,19.0,2.0,2021-02-10,1900-01-01 07:27:00,Ewallet,5.0,0.48,38.0,18.24,South Texas
1491,1492,WALM098,Mineral Wells,Fashion accessories,57.0,1.0,2021-01-19,1900-01-01 18:43:00,Ewallet,4.0,0.18,57.0,10.26,Central Texas
1492,1493,WALM099,Weatherford,Home and lifestyle,27.0,1.0,2020-02-29,1900-01-01 07:38:00,Ewallet,4.0,0.18,27.0,4.86,DFW Metroplex
1493,1494,WALM046,Temple,Fashion accessories,55.0,2.0,2020-01-22,1900-01-01 19:40:00,Ewallet,4.0,0.48,110.0,52.8,Central Texas
1494,1495,WALM046,Temple,Home and lifestyle,70.0,2.0,2020-02-03,1900-01-01 17:39:00,Ewallet,5.0,0.48,140.0,67.2,Central Texas
1495,1496,WALM049,North Richland Hills,Fashion accessories,65.0,2.0,2023-08-23,1900-01-01 18:22:00,Ewallet,4.0,0.48,130.0,62.4,DFW Metroplex
1496,1497,WALM068,Burleson,Home and lifestyle,52.0,3.0,2022-12-19,1900-01-01 13:00:00,Ewallet,6.0,0.33,156.0,51.48,DFW Metroplex
1497,1498,WALM024,Carrollton,Fashion accessories,83.0,3.0,2022-07-30,1900-01-01 17:20:00,Ewallet,8.0,0.48,249.0,119.52,DFW Metroplex
1498,1499,WALM084,Schertz,Home and lifestyle,70.0,3.0,2021-06-11,1900-01-01 12:31:00,Ewallet,5.0,0.33,210.0,69.3,Central Texas
1499,1500,WALM046,Temple,Fashion accessories,69.0,2.0,2021-06-30,1900-01-01 14:01:00,Ewallet,7.0,0.48,138.0,66.24,Central Texas
1500,1501,WALM035,San Angelo,Home and lifestyle,25.0,3.0,2022-11-09,1900-01-01 14:32:00,Ewallet,7.0,0.48,75.0,36.0,West Texas
1501,1502,WALM052,Mansfield,Fashion accessories,15.0,2.0,2023-05-11,1900-01-01 16:07:00,Ewallet,6.0,0.57,30.0,17.1,DFW Metroplex
1502,1503,WALM093,Angleton,Home and lifestyle,43.0,3.0,2022-11-09,1900-01-01 06:01:00,Ewallet,4.0,0.33,129.0,42.57,Greater Houston
1503,1504,WALM019,Pasadena,Fashion accessories,52.0,1.0,2020-12-09,1900-01-01 22:06:00,Ewallet,9.0,0.48,52.0,24.96,Greater Houston
1504,1505,WALM024,Carrollton,Home and lifestyle,61.0,3.0,2021-04-07,1900-01-01 17:07:00,Ewallet,8.0,0.48,183.0,87.84,DFW Metroplex
1505,1506,WALM077,Coppell,Fashion accessories,15.0,1.0,2020-06-17,1900-01-01 08:00:00,Ewallet,6.0,0.33,15.0,4.95,DFW Metroplex
1506,1507,WALM062,Galveston,Home and lifestyle,34.0,3.0,2021-03-11,1900-01-01 07:03:00,Ewallet,5.0,0.33,102.0,33.66,Greater Houston
1507,1508,WALM035,San Angelo,Fashion accessories,64.0,2.0,2021-06-19,1900-01-01 20:49:00,Ewallet,7.0,0.48,128.0,61.44,West Texas
1508,1509,WALM064,Bedford,Home and lifestyle,27.0,1.0,2023-05-13,1900-01-01 07:45:00,Ewallet,5.0,0.33,27.0,8.91,DFW Metroplex
1509,1510,WALM020,Killeen,Fashion accessories,57.0,1.0,2020-09-06,1900-01-01 06:31:00,Ewallet,8.0,0.48,57.0,27.36,Central Texas
1510,1511,WALM093,Angleton,Home and lifestyle,67.0,1.0,2020-11-12,1900-01-01 12:58:00,Ewallet,9.0,0.33,67.0,22.11,Greater Houston
1511,1512,WALM026,Denton,Fashion accessories,34.0,3.0,2023-10-22,1900-01-01 23:00:00,Ewallet,9.0,0.48,102.0,48.96,DFW Metroplex
1512,1513,WALM002,Dallas,Home and lifestyle,52.0,1.0,2022-07-03,1900-01-01 08:06:00,Ewallet,5.0,0.36,52.0,18.72,DFW Metroplex
1513,1514,WALM036,Allen,Fashion accessories,17.0,2.0,2022-08-07,1900-01-01 15:55:00,Ewallet,4.0,0.48,34.0,16.32,DFW Metroplex
1514,1515,WALM011,Lubbock,Home and lifestyle,71.0,1.0,2022-05-22,1900-01-01 22:22:00,Ewallet,4.0,0.48,71.0,34.08,West Texas
1515,1516,WALM093,Angleton,Fashion accessories,19.0,2.0,2021-02-15,1900-01-01 13:22:00,Ewallet,8.0,0.33,38.0,12.54,Greater Houston
1516,1517,WALM039,Longview,Home and lifestyle,41.0,3.0,2022-04-17,1900-01-01 20:41:00,Ewallet,5.0,0.48,123.0,59.04,East Texas
1517,1518,WALM048,Harlingen,Fashion accessories,49.0,1.0,2020-10-13,1900-01-01 13:46:00,Ewallet,5.0,0.48,49.0,23.52,South Texas
1518,1519,WALM049,North Richland Hills,Home and lifestyle,61.0,1.0,2023-12-20,1900-01-01 20:19:00,Ewallet,8.0,0.48,61.0,29.28,DFW Metroplex
1519,1520,WALM034,College Station,Fashion accessories,32.0,1.0,2020-06-10,1900-01-01 17:29:00,Ewallet,9.0,0.48,32.0,15.36,Central Texas
1520,1521,WALM062,Galveston,Home and lifestyle,26.0,3.0,2022-10-26,1900-01-01 11:40:00,Ewallet,7.0,0.33,78.0,25.74,Greater Houston
1521,1522,WALM089,Southlake,Fashion accessories,20.0,2.0,2023-06-06,1900-01-01 21:24:00,Ewallet,8.0,0.33,40.0,13.2,DFW Metroplex
1522,1523,WALM026,Denton,Home and lifestyle,43.0,1.0,2021-12-25,1900-01-01 16:17:00,Ewallet,9.0,0.48,43.0,20.64,DFW Metroplex
1523,1524,WALM012,Garland,Fashion accessories,51.0,1.0,2020-10-29,1900-01-01 16:15:00,Ewallet,6.0,0.48,51.0,24.48,DFW Metroplex
1524,1525,WALM072,Lancaster,Home and lifestyle,19.0,1.0,2023-12-03,1900-01-01 09:04:00,Ewallet,4.0,0.33,19.0,6.27,DFW Metroplex
1525,1526,WALM038,Sugar Land,Fashion accessories,85.0,1.0,2023-12-12,1900-01-01 10:34:00,Ewallet,5.0,0.48,85.0,40.8,Central Texas
1526,1527,WALM084,Schertz,Home and lifestyle,74.0,3.0,2021-05-18,1900-01-01 15:53:00,Ewallet,9.0,0.33,222.0,73.26,Central Texas
1527,1528,WALM016,Brownsville,Fashion accessories,68.0,3.0,2022-04-26,1900-01-01 16:18:00,Ewallet,6.0,0.48,204.0,97.92,South Texas
1528,1529,WALM079,La Porte,Home and lifestyle,80.0,3.0,2021-08-14,1900-01-01 15:40:00,Ewallet,9.0,0.33,240.0,79.2,Greater Houston
1529,1530,WALM091,Little Elm,Fashion accessories,67.0,1.0,2023-07-15,1900-01-01 21:31:00,Ewallet,5.0,0.33,67.0,22.11,DFW Metroplex
1530,1531,WALM096,Eagle Pass,Home and lifestyle,42.0,2.0,2022-02-06,1900-01-01 16:48:00,Ewallet,9.0,0.33,84.0,27.72,South Texas
1531,1532,WALM063,Georgetown,Fashion accessories,16.0,2.0,2022-04-28,1900-01-01 07:17:00,Ewallet,5.0,0.33,32.0,10.56,Central Texas
1532,1533,WALM097,Alice,Home and lifestyle,33.0,2.0,2021-08-23,1900-01-01 22:15:00,Ewallet,7.0,0.18,66.0,11.88,South Texas
1533,1534,WALM076,Huntsville,Fashion accessories,38.0,3.0,2020-09-19,1900-01-01 14:24:00,Ewallet,4.0,0.33,114.0,37.62,Central Texas
1534,1535,WALM076,Huntsville,Home and lifestyle,36.0,2.0,2022-12-28,1900-01-01 07:04:00,Ewallet,5.0,0.33,72.0,23.76,Central Texas
1535,1536,WALM094,Alamo,Fashion accessories,50.0,1.0,2021-07-11,1900-01-01 22:16:00,Ewallet,8.0,0.33,50.0,16.5,South Texas
1536,1537,WALM099,Weatherford,Home and lifestyle,39.0,1.0,2023-03-22,1900-01-01 11:10:00,Ewallet,6.0,0.18,39.0,7.02,DFW Metroplex
